text,named_ents
" do you have a garden, a patio or yard, a roof terrace or large balcony? ",[]
how many hours have you been spending doing each of the following activities on a typical week day since the coronavirus outbreak began? other ... number of hours,"[('a typical week day', 80, 98, 'DATE'), ('hours', 157, 162, 'TIME')]"
"overall, how do you feel your current financial situation compares to before the coronavirus outbreak?",[]
"how many hours have you been spending doing each of the following activities on a typical week day since the coronavirus outbreak began? housework (e.g. cleaning, laundry, cooking, diy) ... number of hours","[('a typical week day', 80, 98, 'DATE'), ('hours', 200, 205, 'TIME')]"
"how often has your household used a food bank, or similar service, since the coronavirus outbreak began?",[]
"how many rooms are there in the home where you are currently living, not counting kitchens, bathrooms, toilets, halls and garages?",[]
how many hours in total have you been spending outside of your home on a typical week day since the coronavirus outbreak began? ,"[('a typical week day', 71, 89, 'DATE')]"
how many hours have you been spending doing each of the following activities on a typical week day since the coronavirus outbreak began? shopping or essential appointments ... number of hours,"[('a typical week day', 80, 98, 'DATE'), ('hours', 186, 191, 'TIME')]"
how many hours have you been spending doing each of the following activities on a typical week day since the coronavirus outbreak began? travelling for work ... number of hours,"[('a typical week day', 80, 98, 'DATE'), ('hours', 171, 176, 'TIME')]"
"how many hours have you been spending doing each of the following activities on a typical week day since the coronavirus outbreak began? socialising with non-household members via telephone, video-calling or messaging ... number of hours","[('a typical week day', 80, 98, 'DATE'), ('hours', 232, 237, 'TIME')]"
how many hours have you been spending doing each of the following activities on a typical week day since the coronavirus outbreak began? physical activity / exercise ... number of hours,"[('a typical week day', 80, 98, 'DATE'), ('hours', 180, 185, 'TIME')]"
"how many hours have you been spending doing each of the following activities on a typical week day since the coronavirus outbreak began? other leisure activities and hobbies (e.g. tv, gaming, reading, news, listening to music, gardening, online shopping, mealtime, relaxing) ... number of hours","[('a typical week day', 80, 98, 'DATE'), ('hours', 289, 294, 'TIME')]"
how many hours have you been spending doing each of the following activities on a typical week day since the coronavirus outbreak began? socialising with non-household members in person ... number of hours,"[('a typical week day', 80, 98, 'DATE'), ('hours', 200, 205, 'TIME')]"
"finally – we’d like to ask you to download a covid-19 symptoms tracker app. many people are recording symptoms of covid-19 using specially designed symptom tracker apps. these are helping to slow the outbreak, by recording which symptoms are most common, and identifying high risk areas in the uk. as a member of child of the new century you can play a special role. we have teamed up with the organisations running the covid-19 symptom tracker, designed by kings college london, to allow the results from the symptoms tracker app to be combined with the information held by child of the new century. all you need to do is to download the app on your mobile device, and record your symptoms every day. if you have already been recording your symptoms using this app, the symptoms you have already recorded can also be linked. please click here (https://covid.joinzoe.com/) to download the app. you can download the symptoms tracker and start recording your symptoms at any time. you can also find the link to download the symptoms tracker app on our study website (https://childnc.net/faqs/#covid19tracker). if you do not wish your information held by child of the new century to be linked to information collected by the covid-19 symptom tracker app please tick the box below.","[('covid-19', 45, 53, 'CARDINAL'), ('covid-19', 114, 122, 'CARDINAL'), ('uk', 294, 296, 'GPE'), ('covid-19', 420, 428, 'CARDINAL'), ('kings college london', 458, 478, 'ORG'), ('the new century', 584, 599, 'DATE'), ('the new century', 1161, 1176, 'DATE'), ('covid-19', 1222, 1230, 'CARDINAL')]"
"how many hours have you been spending doing each of the following activities on a typical week day since the coronavirus outbreak began? personal care (e.g. taking a shower/bath, grooming, getting dressed etc.) ... number of hours","[('a typical week day', 80, 98, 'DATE'), ('hours', 225, 230, 'TIME')]"
how often do you feel lonely?,[]
how often do you feel that you lack companionship?,[]
how many hours have you been spending doing each of the following activities on a typical week day since the coronavirus outbreak began? paid work ... number of hours,"[('a typical week day', 80, 98, 'DATE'), ('hours', 161, 166, 'TIME')]"
how many hours have you been spending doing each of the following activities on a typical week day since the coronavirus outbreak began? volunteering / unpaid work (not for your household) ... number of hours,"[('a typical week day', 80, 98, 'DATE'), ('hours', 203, 208, 'TIME')]"
"in the 3 months before the coronavirus outbreak, how well would you say you personally were managing financially?","[('the 3 months', 3, 15, 'DATE')]"
how many hours have you been spending doing each of the following activities on a typical week day since the coronavirus outbreak began? home schooling your children (if you have any) ... number of hours,"[('a typical week day', 80, 98, 'DATE'), ('hours', 198, 203, 'TIME')]"
"overall, how satisfied are you with your life nowadays, where 0 means 'not at all' and 10 means 'completely'?","[('10', 87, 89, 'CARDINAL')]"
which of the following statements best describes the food eaten in your household since the coronavirus outbreak began?,[]
how many hours have you been spending doing each of the following activities on a typical week day since the coronavirus outbreak began? ill in bed ... number of hours,"[('a typical week day', 80, 98, 'DATE'), ('hours', 162, 167, 'TIME')]"
how often do you feel left out?,[]
the email address we currently hold for you is ${e://field/recipientemail}. is this the best email address to use to contact you?,[]
do you still intend to take up this course or have your plans changed?,[]
who do you currently live with?,[]
have any of the following occurred since the coronavirus outbreak?,[]
and which of these would you say best describes your situation now - that is since the coronavirus outbreak?,[]
are you or your partner (if you have one) currently pregnant?,[]
what was your job title?,[]
"altogether, how many hours help did you or someone you live with usually get in a week?","[('a week', 80, 86, 'DATE')]"
"since the coronavirus outbreak, how many hours of help have you or someone you typically received each week?","[('each week', 98, 107, 'DATE')]"
please describe in your own words what you mainly did in this job.,[]
which of these statements best describes the change in help needed or received?,[]
"in the boxes below please write the full name of the college, university or other organisation at which you have been offered a place, and the town in which it is in: name: ... town:",[]
have you started living with your partner since the coronavirus outbreak ?,[]
which of these best describes what your partner was doing just before the coronavirus outbreak?,[]
who provided this help?,[]
have any of the following occurred since the coronavirus outbreak?,[]
"how many hours per week did you usually work, not including meal breaks but including overtime?",[]
"have you sought medical advice in relation to any symptoms you have had, which you think may be caused by coronavirus?",[]
"since the start of the coronavirus outbreak, has the amount you have been using an electronic cigarette or vaping device changed?",[]
"since the start of the coronavirus outbreak, how often have you failed to do what was expected of you because of drinking?",[]
"since the start of the coronavirus outbreak, how often have you found you were not able to stop drinking once you had started?",[]
"since the start of the coronavirus outbreak, how many cigarettes a day have you typically smoked?",[]
what was the result of your coronavirus test? if you had more than one test please report the findings of the latest test.,"[('more than one', 57, 70, 'CARDINAL')]"
what did the firm or organisation you worked for mainly make or do?,[]
"since the start of the coronavirus outbreak, how many standard alcoholic drinks do you have on a typical day when you were drinking?",[]
and which of these best describes what you are doing now - that is since the coronavirus outbreak?,[]
have you been in hospital because of coronavirus symptoms?,[]
how many of your children do you currently live with?,[]
"since the start of the coronavirus outbreak, has a relative, friend, doctor or health worker been concerned about your drinking or advised you to cut down?",[]
was this apprenticeship part of..?,[]
what is your weight in kilograms?,[]
what is the name of the course you were studying?,[]
which course year or year in the apprenticeship are you currently in?,"[('year or year', 13, 25, 'DATE')]"
have any of the following occurred since the coronavirus outbreak?,[]
"in the month before the coronavirus outbreak, how many cigarettes a day did you usually smoke?","[('the month', 3, 12, 'DATE')]"
"in the month before the coronavirus outbreak, how many standard alcoholic drinks have you had on a typical day when you were drinking?","[('the month', 3, 12, 'DATE')]"
what did your firm or organisation mainly make or do?,[]
were you studying or doing your apprenticeship full or part time?,[]
where were you studying or doing your apprenticeship?,[]
has your learning activity changed in any of the following ways since the coronavirus outbreak?,[]
what is your weight in stones and pounds? stone ... pounds,[]
"since the coronavirus outbreak began, has the amount you have argued with your partner changed?",[]
"in this job, did you have a zero hours contract?","[('zero hours', 28, 38, 'TIME')]"
please enter below the best email address to use to contact you in the future.,[]
and which of these would you say best describes your partner’s situation now - that is since the coronavirus outbreak?,[]
"in the boxes below please write the full name of the school, college, university or other organisation at which you were studying or doing your apprenticeship, and the town in which it is in: name: ... town:",[]
"on a scale from 1 to 7, where ‘1’ means that you are ‘very unhappy’ and ‘7’ means that you are ‘very happy’, how happy is your relationship with your partner at the moment, all things considered?","[('1 to 7', 16, 22, 'CARDINAL')]"
what is the duration of the course or apprenticeship?,[]
was this apprenticeship a full time course at a college or training centre?,[]
are you in a relationship with someone at the moment?,[]
what did your partner's firm or organisation mainly make or do? ,[]
how many weeks pregnant are you/is she?,[]
who provided this help?,[]
which of the following best describes your work location since the coronavirus outbreak?,[]
what was your partner's job title?,[]
"and how many hours per week do you usually work now, not including meal breaks but including overtime?",[]
"in this job, did your partner have a zero hours contract?","[('zero hours', 37, 47, 'TIME')]"
"how many hours per week did your partner usually work, not including meal breaks but including overtime?",[]
please describe in your own words what your partner mainly did in this job. ,[]
"and how many hours per week do you usually work now, not including meal breaks but including overtime?",[]
was this apprenticeship part of..?,[]
which of the following best describes your work location since the coronavirus outbreak?,[]
"are you a key worker, or has your work been classified as critical to the covid-19 response?",[]
"is your partner a key worker, or has their work been classified as critical to the covid-19 response?",[]
what did the firm or organisation your partner worked for mainly make or do? ,[]
"are you a key worker, or has your work been classified as critical to the covid-19 response?",[]
"using a scale of 0 to 10, where 0 means 'completely disagree' and 10 means 'completely agree', please indicate the extent to which you agree or disagree with each of the statements below. i am satisfied with the learning resources provided by my learning establishment","[('0 to 10', 17, 24, 'CARDINAL'), ('10', 66, 68, 'CARDINAL')]"
did it involve periods of study at a college or training centre?,[]
"using a scale of 0 to 10, where 0 means 'completely disagree' and 10 means 'completely agree', please indicate the extent to which you agree or disagree with each of the statements below. i have been able to continue my studies effectively whilst being at home","[('0 to 10', 17, 24, 'CARDINAL'), ('10', 66, 68, 'CARDINAL')]"
"and how many hours per week does your partner usually work now, not including meal breaks but including overtime?",[]
are any of your child(ren) aged between 5 and 16 still physically attending school daily?,"[('between 5 and 16', 32, 48, 'DATE')]"
"before the coronavirus outbreak, which of the following applied to your child(ren) aged 4 or under?","[('4', 88, 89, 'CARDINAL')]"
please give the age of each child you live with … years old,[]
why is your child(ren) still physically attending school?,[]
which of the following now applies to your child(ren) aged 4 or under?,"[('4', 59, 60, 'CARDINAL')]"
why is your child(ren) still attending day care or school?,[]
position held,[]
school,[]
ref. no.,[]
date,[]
name,[]
address,[]
of the pupil's weekly timetable how many teaching periods are devoted to:- academic examination subjects (to 'o' or 'a' level) ... periods.,"[('weekly', 15, 21, 'DATE')]"
have you or other members of the staff had any discussion with the parents in the last 18 months about this pupil's school progress?,"[('the last 18 months', 78, 96, 'DATE')]"
"from your knowledge of this pupil's capacity, which of the following courses would you recommend if you were sure the pupil would work hard and receive encouragement at home?",[]
"when this pupil leaves school what further full-time educational course, if any, would you recommend?",[]
have you any further comments to make about factors that may have helped or hindered this pupil's work?,[]
l.e.a. if changed,[]
address,[]
have you any comments to make about the pupil's general attitude at school?,[]
please comment if there are any special reasons why the parents are unable to help this pupil,[]
does this pupil show any outstanding interest or ability in any curricular or extra- curricular activity?,[]
what type of career do you consider suitable for this pupil (even if it is not the one the pupil is actually intending to pursue)?,[]
when do you think this pupil would be best advised to leave school?,[]
what course is this pupil actually on?,[]
to what extent do the parents take an active interest in this pupil's work and career?,[]
what would you consider to be a reasonable estimate of time required by this pupil for homework or evening study? on an average weekday ... hours,"[('evening', 99, 106, 'TIME')]"
have you had communication with the parents in the last 18 months about this pupil's future career?,"[('the last 18 months', 47, 65, 'DATE')]"
what would you consider to be a reasonable estimate of time required by this pupil for homework or evening study? over an average weekend ... hours  ,"[('evening', 99, 106, 'TIME'), ('an average weekend', 119, 137, 'DATE')]"
name,[]
of the pupil's weekly timetable how many teaching periods are devoted to:- non-examination subjects (excluding p.e.) ... periods.,"[('weekly', 15, 21, 'DATE'), ('p.e.', 111, 115, 'GPE')]"
how many pupils took general certificate examinations for the first time in the following years? 1960 ... pupils,"[('first', 62, 67, 'ORDINAL'), ('the following years', 76, 95, 'DATE'), ('1960', 97, 101, 'DATE')]"
examinations failed name of examining board,[]
"of the pupil's weekly timetable how many teaching periods are devoted to:- other examination subjects (technical, domestic, art, music) ... periods.","[('weekly', 15, 21, 'DATE')]"
"to what extent do you think that home cares and responsibilities, and out of school activities interfere with this pupil's academic work?",[]
how many pupils are there in the sixth forms? ... pupils,"[('sixth', 33, 38, 'ORDINAL')]"
is this pupil in the sixth or its equivalent?,"[('sixth', 21, 26, 'ORDINAL')]"
how many pupils went to the university in the following years? (1958 ... pupils,"[('the following years', 42, 61, 'DATE'), ('1958', 64, 68, 'DATE')]"
how many 13 year olds did you have on general certificate courses in your school in the following years? 1955 ... pupils,"[('13 year olds', 9, 21, 'DATE'), ('the following years', 84, 103, 'DATE'), ('1955', 105, 109, 'DATE')]"
new address,[]
please comment if relevant,[]
how many pupils took general certificate examinations for the first time in the following years? 1959 ... pupils,"[('first', 62, 67, 'ORDINAL'), ('the following years', 76, 95, 'DATE'), ('1959', 97, 101, 'DATE')]"
how many pupils went to the university in the following years? (1961 ... pupils,"[('the following years', 42, 61, 'DATE'), ('1961', 64, 68, 'DATE')]"
how many pupils went to the university in the following years? (1960 ... pupils,"[('the following years', 42, 61, 'DATE'), ('1960', 64, 68, 'DATE')]"
what sixth form courses are provided? ...),"[('sixth', 5, 10, 'ORDINAL')]"
please comment if relevant,[]
is this pupil in general,[]
how many pupils went to the university in the following years? (1959 ... pupils,"[('the following years', 42, 61, 'DATE'), ('1959', 64, 68, 'DATE')]"
how many pupils took general certificate examinations for the first time in the following years? 1961 ... pupils,"[('first', 62, 67, 'ORDINAL'), ('the following years', 76, 95, 'DATE'), ('1961', 97, 101, 'DATE')]"
examinations passed name of examining board,[]
what qualifications are needed to enter the sixth form?,"[('sixth', 44, 49, 'ORDINAL')]"
how far does this pupil contribute to the community life of the school?,[]
does this pupil hold any school society office?,[]
how many 13 year olds did you have on general certificate courses in your school in the following years? 1958 ... pupils,"[('13 year olds', 9, 21, 'DATE'), ('the following years', 84, 103, 'DATE'), ('1958', 105, 109, 'DATE')]"
does this pupil hold any school office or offices?,[]
"taking this pupil's behaviour and relationships with other pupils as a whole, please ring each statement where most appropriate. aggressive ",[]
how many pupils took general certificate examinations for the first time in the following years? 1958 ... pupils,"[('first', 62, 67, 'ORDINAL'), ('the following years', 76, 95, 'DATE'), ('1958', 97, 101, 'DATE')]"
"taking this pupil's behaviour and relationships with other pupils as a whole, please ring each statement where most appropriate. shy or withdrawn",[]
how would you assess this pupil's general knowledge compared with other pupils of the same age?,[]
"taking this pupil's behaviour and relationships with other pupils as a whole, please ring each statement where most appropriate. other namely ",[]
does this pupil represent the school in any team or teams?,[]
how many 13 year olds did you have on general certificate courses in your school in the following years? 1957 ... pupils,"[('13 year olds', 9, 21, 'DATE'), ('the following years', 84, 103, 'DATE'), ('1957', 105, 109, 'DATE')]"
how would you assess the independence and originality of this pupil's work and thought compared with other pupils of the same age?,[]
how many 13 year olds did you have on general certificate courses in your school in the following years? 1956 ... pupils,"[('13 year olds', 9, 21, 'DATE'), ('the following years', 84, 103, 'DATE'), ('1956', 105, 109, 'DATE')]"
"taking this pupil's behaviour and relationships with other pupils as a whole, please ring each statement where most appropriate. sensitive or highly strung ",[]
"could you please give some indication of the main reason or reasons for this. we are hoping to look at these leavers as a separate group with reference to their past record, home circumstances and health.",[]
present occupation,[]
is any games office held?,[]
is this pupil likely to go into the sixth?,"[('sixth', 36, 41, 'ORDINAL')]"
what office or offices?,[]
what society is it?,[]
please give reasons.,[]
what office is it?,[]
what it is?,[]
please use the scale once more to show where you expect to be able to put yourself in ten years time when you are 43.,"[('ten years', 86, 95, 'DATE'), ('43', 114, 116, 'DATE')]"
please ring one number to show just how dissatisfied or satisfied you are about the way your life has turned out so far:,"[('one', 12, 15, 'CARDINAL')]"
which of these two statements is most true for you?,"[('two', 15, 18, 'CARDINAL')]"
and which of these is most true for you?,[]
"all things considered, how happy are you? would you say you were ...",[]
how well do you get on with other people?,[]
and which of these is most true for you?,[]
please use the scale again below to show where you think you might have put yourself when we last spoke to you ten years ago.,"[('ten years ago', 111, 124, 'DATE')]"
how interested would you say you are in politics?,[]
"generally speaking, which of these two statements comes closest to your view?","[('two', 35, 38, 'CARDINAL')]"
and which of these two statements comes closest to your view?,"[('two', 19, 22, 'CARDINAL')]"
"suppose you had the ""flu"" and you had to stay in bed for a few days, and needed help around the home, with shopping and so on. who would you turn to for help? please put the first names or initials of up to four people in the boxes below and answer question b). first name/initials","[('a few days', 57, 67, 'DATE'), ('first', 174, 179, 'ORDINAL'), ('up to four', 201, 211, 'CARDINAL'), ('first', 262, 267, 'ORDINAL')]"
do you and your partner share any outside interests?,[]
"suppose you needed advice about an important change in your life - for example, about a job, or moving to another part of the country. who would you turn to for advice? please put the first names or initials of up to four people in the boxes below, one in each box, and answer question b). first name/initials","[('first', 184, 189, 'ORDINAL'), ('up to four', 211, 221, 'CARDINAL'), ('one', 249, 252, 'CARDINAL'), ('first', 290, 295, 'ORDINAL')]"
in leisure time does your partner usually prefer to be out and about or stay at home?,[]
"suppose you were very upset about a problem with your husband, wife or partner, and had not been able to sort it out with them. even if you are not married or have no partner, what would you do if you were? who would you turn to for help? please put the first names or initials of up to four people in the boxes below and answer question b). first name/initials","[('first', 254, 259, 'ORDINAL'), ('up to four', 281, 291, 'CARDINAL'), ('first', 342, 347, 'ORDINAL')]"
what relation is this person to you?,[]
what relation is this person to you?,[]
what relation is this person to you?,[]
do you ever wish you had not married (or lived together as a couple)?,[]
do you share your problems with your partner?,[]
suppose you needed to borrow a large sum of money. who would you turn to for help? please put the first names or initials of up to four people in the boxes below and answer question b). first name/initials,"[('first', 98, 103, 'ORDINAL'), ('up to four', 125, 135, 'CARDINAL'), ('first', 186, 191, 'ORDINAL')]"
"if you had to live your life over again, which of these do you think you would do?",[]
"suppose you felt just a bit down or depressed, and you wanted to talk about it. who would you turn to for help? please put the first names or initials of up to four people in the boxes below and answer question b). first name/initials","[('first', 127, 132, 'ORDINAL'), ('up to four', 154, 164, 'CARDINAL'), ('first', 215, 220, 'ORDINAL')]"
"how happy is your relationship, all things considered?",[]
when disagreements arise between you and your partner how do they usually end?,[]
in leisure time do you usually prefer to be out and about or stay at home?,[]
what relation is this person to you?,[]
"there are some household and garden jobs you really can't do alone - for example, you may need someone to hold a ladder. who would you turn to for help? please put the first names or initials of up to four people in the boxes below and answer question b). first names/initials","[('first', 168, 173, 'ORDINAL'), ('up to four', 195, 205, 'CARDINAL'), ('first', 256, 261, 'ORDINAL')]"
what relation is this person to you?,[]
what relation is this person to you?,[]
"before i start the interview, i need to check that i have opened the right file for you.",[]
a few interviews on any survey are checked by a supervisor to make sure people are happy with the way the interview was  carried out. in case my supervisor needs to contact you ...,[]
interview date version: ver05. # ^,[]
nurse: please code whether you are interviewing the cohort member themselves or conducting a proxy interview with the cohort member's carer?,[]
point number,[]
serial number,[]
"can i check, is your name still ... (read from arf) or have you changed it for any reason?",[]
can i check? what day in march is your birthday? birth date,[]
do you easily fall or have difficulty keeping your balance because of long term health problems?,[]
"now some questions about your family? #^ can i now check, is your natural mother alive?",[]
"and in the last ten years (that is since you were 43 years old,) have you had a thyroid disorder?","[('the last ten years', 7, 25, 'DATE'), ('43 years old', 50, 62, 'DATE')]"
on your present income do you find (as a family),[]
code if tube 5: lithium heparin (green) 4 ml was filled (include partially filled tube):,"[('5', 13, 14, 'CARDINAL'), ('4 ml', 40, 44, 'QUANTITY')]"
how often do you regularly visit or are visited by these persons?,[]
has a friend or relative (other than your spouse/partner or children) or someone you know well had a serious accident or illness or received a serious injury?,[]
measure circumference of left arm and record in centimetres.,[]
"(and in the last ten years) have you had any stomach trouble such as ulcers, gastritis or acid indigestion?","[('the last ten years', 8, 26, 'DATE')]"
"since 1989, how much of the time have you not been in any paid work? choose an answer from this card?","[('1989', 6, 10, 'DATE')]"
has your spouse/partner lost their job or thought they would soon lose their job?,[]
nurse: measure the chest circumference to the nearest mm. chest,[]
have you had any other crises or serious disappointments in your work or career in general?,[]
nurse: make examination of each knee and record answers in capi. #^,[]
blood sample outcome:,[]
have you had any other serious upsets or disappointments in the last year?,"[('the last year', 60, 73, 'DATE')]"
have you found you have been unable to pay the bills in the last year because you were short of money?,"[('the last year', 56, 69, 'DATE')]"
"and in the last ten years (that is since you were 43 years old,) have you had meningitis or encephalitis?","[('the last ten years', 7, 25, 'DATE'), ('43 years old', 50, 62, 'DATE')]"
(and in the last ten years) have you had gall bladder trouble?,"[('the last ten years', 8, 26, 'DATE')]"
"now i would like to measure your lung function. can i check, have you had abdominal or chest surgery in the past three weeks?","[('the past three weeks', 104, 124, 'DATE')]"
are/were you working as an employee or self-employed?,[]
(and in the last ten years) have you had a hernia?,"[('the last ten years', 8, 26, 'DATE')]"
i would now like to ask you some questions about your present job. what is the full title of your present job?,[]
"in the last 12 months, have you had sciatica, lumbago or severe backache?","[('the last 12 months', 3, 21, 'DATE')]"
nurse: collect self-completion booklet and record.,[]
"and in the last ten years (that is since you were 43 years old,) have you had cancer?","[('the last ten years', 7, 25, 'DATE'), ('43 years old', 50, 62, 'DATE')]"
"and in the last ten years (that is since you were 43 years old,) have you had diabetes?","[('the last ten years', 7, 25, 'DATE'), ('43 years old', 50, 62, 'DATE')]"
"do you think that you have friends, neighbours or relatives who would help you out if a problem or crisis came up? would you say you had",[]
and in the last ten years have you had asthma?,"[('the last ten years', 7, 25, 'DATE')]"
i need to have your written consent to take part in the genetic studies project. please read and sign part 2 of form 7. ^ may we have your consent to store any remaining blood for future analysis?,"[('2', 107, 108, 'CARDINAL')]"
have you ever had any pain or discomfort in your chest?,[]
i would now like you to fill in this questionnaire while i am getting the equipment out for the medical exam. please ask me if any of the questions are not clear.,[]
(and in the last ten years) have you had any skin trouble such as eczema or psoriasis?,"[('the last ten years', 8, 26, 'DATE')]"
"in the last 12 months, have you had pain or stiffness in your left knee on most days for at least a month?","[('the last 12 months', 3, 21, 'DATE'), ('most days', 75, 84, 'DATE'), ('at least a month', 89, 105, 'DATE')]"
what are/were the main things they do/did in the job?,[]
nurse: are there any other observations to make.,[]
are/were they working as an employee or are/were they self-employed?,[]
i would now like a sample of the cells from the inside of your mouth. this involves you gently rubbing the inside of your cheeks with a small swab. are you willing to have a mouth swab taken? if asked the sample will be analysed for dna (genetics) study.,[]
(and in the last ten years) have you had any allergies?,"[('the last ten years', 8, 26, 'DATE')]"
"the next few questions are about your social life, particularly with friends and relatives who do not live at home with you. ^   are there any relatives or friends with whom you have regular contact, either by visit, telephone or letters?",[]
"during the last 12 months has your spouse/partner had a serious accident or illness, or received a serious injury, or been assaulted?","[('the last 12 months', 7, 25, 'DATE')]"
have you broken a bone since you were 25 years old?,"[('25 years old', 38, 50, 'DATE')]"
may we have your consent to take part in the genetics study?,[]
would you be willing to have your hand grip measured?,[]
nurse: measure standing height and enter in centimetres to nearest 0.5cm.,[]
nurse: did the survey member have hearing difficulty during testing?,[]
what is the full title of your partner's current or most recent job?,[]
"i would now like to update our records about marriages and partners. first, what is your current marital status ...","[('first', 69, 74, 'ORDINAL')]"
"please use this card to tell me your total net household income. include your own and your partner’s earned income (after deduction for income tax and national insurance), any state benefits and any other sources of income such as  pensions and interest. you should also include contributions from other members of your household (such as children). tell me which of the letters on this card represents your total net household income?",[]
do you smoke cigars?,[]
have you fallen at all in the past 12 months that is since [lff month and year]?,"[('the past 12 months', 26, 44, 'DATE')]"
do you now regularly take any prescribed medicines?,[]
do any of the people you live with smoke cigarettes at home?,[]
"in the last 12 months, have you had pain or stiffness in your right hand or fingers on most days for at least a month?","[('the last 12 months', 3, 21, 'DATE'), ('most days', 87, 96, 'DATE'), ('at least a month', 101, 117, 'DATE')]"
i would now like to examine your knees for any bumps or swellings. would you be willing for me to examine your knees?,[]
"now follows the blood sample module. may i check, do you have a clotting or bleeding disorder?",[]
nurse: has cm completed the self completion booklet?,[]
nurse: measure the hip circumference to the nearest mm. hip,[]
do you get pain in either leg on walking?,[]
(and in the last ten years) have you had any kidney or bladder infections?,"[('the last ten years', 8, 26, 'DATE')]"
does your chest ever sound wheezy or whistling?,[]
would you be willing to have a blood sample taken?,[]
code if tube 3: edta (purple)2 ml was filled (include partially filled tube):,"[('3', 13, 14, 'CARDINAL')]"
"and in the last ten years (that is since you were 43 years old,) have you ever had any fits or epilepsy?","[('the last ten years', 7, 25, 'DATE'), ('43 years old', 50, 62, 'DATE')]"
nurse please write in other knee observations. remember to write in which knee(s) are affected.,[]
"did either of your parents smoke cigarettes, cigars or pipes when you lived with them as a child?",[]
code if tube 2: edta (purple) 3 ml was filled (include partially filled tube):,"[('2', 13, 14, 'CARDINAL'), ('3 ml', 30, 34, 'QUANTITY')]"
"now i would like to ask you about some more specific health problems or illnesses. #^ looking at this card, please tell me which of these kinds of heart trouble you have had, if any, in the last ten years that is since you were 43 years old?","[('the last ten years', 186, 204, 'DATE'), ('43 years old', 228, 240, 'DATE')]"
do you remember that list of 15 words i showed you earlier. i would like you to write down as many of those words as you   can remember. i would like you to write down as many of those words as you can remember.,"[('15', 29, 31, 'CARDINAL')]"
nurse: enter serial number of scales. serial,[]
code if tube 6: edta (purple) 3 ml was filled (include partially filled tube):,"[('6', 13, 14, 'CARDINAL'), ('3 ml', 30, 34, 'QUANTITY')]"
"since 1989, how many jobs have you had altogether, including any job held in 1989 and any current job?","[('1989', 6, 10, 'DATE'), ('1989', 77, 81, 'DATE')]"
nurse: measure the waist circumference to the nearest mm. waist,[]
do you smoke a pipe?,[]
"i would now like to ask you some questions about things you have experienced over the last 12 months, that is since [lff month and year]. thinking back over the last 12 months have you developed, or found out that you have, a serious illness or disability?","[('the last 12 months', 82, 100, 'DATE'), ('the last 12 months', 157, 175, 'DATE')]"
have you had any serious disagreements with your spouse/partner or felt betrayed or disappointed by them?,[]
"how many hours a week do you usually work in this job, including regular overtime? hours","[('hours', 83, 88, 'TIME')]"
"in the last 12 months, have you had pain or stiffness in your left hand or fingers on most days for at least a month?","[('the last 12 months', 3, 21, 'DATE'), ('most days', 86, 95, 'DATE'), ('at least a month', 100, 116, 'DATE')]"
nurse code:,[]
"and have you had a fit in the last three years (including epileptic fit, convulsion or convulsion associated with high fever)?","[('the last three years', 26, 46, 'DATE')]"
nurse: enter serial number of dynamometer. serial,[]
so you weigh [lff] kilo's or [lff] stone [lff] pounds?,[]
"during the past 3 years, have you had any chest illness, for example, bronchitis or pneumonia, which has kept you off work or indoors for a week or more?","[('the past 3 years', 7, 23, 'DATE'), ('a week', 138, 144, 'DATE')]"
now i would like to examine your hands for any bumps or swellings. would you be willing for me to examine your hands?,[]
"and in the last ten years (that is since you were 43 years old,) have you had chronic fatigue syndrome or myaligic encephalomyelitis, better known as me?","[('the last ten years', 7, 25, 'DATE'), ('43 years old', 50, 62, 'DATE')]"
"as well as this job, do you have a second job?","[('second', 35, 41, 'ORDINAL')]"
in this job do/did you work,[]
i would now like to measure your height and weight.,[]
(and in the last ten years) have you had any persistent trouble with your gums or mouth?,"[('the last ten years', 8, 26, 'DATE')]"
"how frequently at home or at work do you use your hands in strong movements, such as squeezing water out of a towel, playing racket sports, digging the garden, or carrying heavy items such as a suitcase, briefcase, bucket or shopping bag. please choose an answer from this card.",[]
"i would now like you to read slowly down this list of words, starting here (nurse point to chord). continue down this column and onto the next. i must warn you that there are many words that you won’t recognise. in fact most people don’t know them, so just guess at these. please begin when you are ready.",[]
"i would now like to assess your balance and co-ordination. first, i will ask you to fold your arms and, after i count up to three, stand on your preferred leg, and raise your other foot off the floor like this (nurse demonstrate).   i will ask you to hold this position for as long as you can or until i tell you to stop.   then i want you to repeat the test with your eyes closed. would you be willing to have a go?","[('first', 59, 64, 'ORDINAL'), ('three', 124, 129, 'CARDINAL')]"
"and in the last ten years (that is since you were 43 years old,) have you had a stroke?","[('the last ten years', 7, 25, 'DATE'), ('43 years old', 50, 62, 'DATE')]"
has a friend or relative or someone you know well died during the last 12 months?,"[('the last 12 months', 62, 80, 'DATE')]"
you are [lff] centimetres high or [lff] feet [lff] inches?,[]
nurse: make examination of each knee and record answers in capi. #^,[]
have you ever been knocked unconscious by a blow to the head?,[]
how many relatives or friends do you see once a month or more?,[]
nurse code:,[]
"(and) in the last ten years (that is since you were 43 years old,) have you had sudden sight problems which got better after a day?","[('the last ten years', 9, 27, 'DATE'), ('43 years old', 52, 64, 'DATE')]"
